date,headline,url,summary,year,month,day
2021-01-03 07:52:00,Συνδικαλιστής Αστυνομίας: Να μην αφήσουν τον Κουφοντίνα να πεθάνει,https://www.documentonews.gr/article/syndikalisths-astynomias-na-mhn-afhsoyn-ton-koyfontina-na-pethanei/, Έκκληση να μην αφεθεί ο Δημήτρης Κουφοντίνας να πεθάνει απηύθυνε… ,2021,01,03
2021-01-03 07:19:00,Η Σοφία Νικολάου απαντά στην Ιωάννα Κούρτοβικ για τον Κουφοντίνα με επιχειρήματα που δεν πείθουν κανέναν,https://www.documentonews.gr/article/h-sofia-nikolaoy-apanta-sthn-iwanna-koyrtobik-gia-ton-koyfontina-me-epixeirhmata-poy-den-peithoyn-kanenan/," Απαντήσεις σε όσα ανέφερε η συνήγορος του Δημήτρη Κουφοντίνα, Ιωάννα… ",2021,01,03
2021-02-28 20:59:00,Νέα συγκέντρωση τη Δευτέρα για Κουφοντίνα: Την ύστατη ώρα να υποχωρήσει η κυβέρνηση!,https://www.documentonews.gr/article/nea-sygkentrwsh-th-deytera-gia-koyfontina-thn-ystath-wra-na-ypoxwrhsei-h-kybernhsh/, Αριστερές οργανώσεις και συλλογικότητες καλούν την Δευτέρα 1η Μαρτίου σε… ,2021,02,28
2021-02-28 19:43:00,"Καμπαγιάννης προς Άδωνη: «Ψηφίσατε φωτογραφικό νόμο για τον Κουφοντίνα, όχι για τον Μιχαλολιάκο»!",https://www.documentonews.gr/article/kampagiannhs-pros-adwnh-pshfisate-fwtografiko-nomo-gia-ton-koyfontina-oxi-gia-ton-mixaloliako/," «Κύριε Γεωργιάδη, ψηφίσατε φωτογραφικό νόμο για τον Κουφοντίνα, όχι για… ",2021,02,28
2021-02-28 18:43:00,Τζαβάρας «κόντρα» στο κόμμα του: «Αδιανόητο να έχουμε νεκρό απεργό πείνας στη χώρα μας»,https://www.documentonews.gr/article/tzabaras-kontra-sto-komma-toy-adianohto-na-exoyme-nekro-apergo-peinas-sth-xwra-mas/, Σε εντελώς άλλο μήκος κύματος από την κυβερνητική γραμμή κινήθηκε… ,2021,02,28
2021-02-28 18:36:00,Υπόθεση Κουφοντίνα: Από το Κράτος Δικαίου στο Κράτος του Φόβου,https://www.documentonews.gr/article/ypothesh-koyfontina-apo-to-kratos-dikaioy-sto-kratos-toy-foboy/," H τρομοκρατία δεν νομιμοποιείται στα δημοκρατικά πολιτεύματα. Οι τρομοκρατικές πράξεις,… ",2021,02,28
2021-02-28 18:27:00,"Κούρτοβικ: Η κυβερνητική άποψη του «έτσι θέλω, έτσι κάνω» νομιμοποιεί τη βαρβαρότητα μιας θανατικής ποινής;",https://www.documentonews.gr/article/koyrtobik-h-kybernhtikh-apopsh-toy-etsi-thelw-etsi-kanw-nomimopoiei-th-barbarothta-mias-thanatikhs-poinhs/, Σε μια ανακοίνωση-κόλαφο κατά της κυβέρνησης και των επιλογών της… ,2021,02,28
2021-02-28 18:26:00,Ρούπα-Μαζιώτης: Εντολή εκτέλεσης Κουφοντίνα από την κυβέρνηση,https://www.documentonews.gr/article/roypa-maziwths-entolh-ekteleshs-koyfontina-apo-thn-kybernhsh/, Τα μέλη του Επαναστατικού Αγώνα Πόλα Ρούπα – Φυλακές Ελαιώνα Θήβας… ,2021,02,28
2021-02-28 18:05:00,Συντονισμένη επίθεση μειοψηφίας κατά προέδρου Δικαστών και Εισαγγελέων για Κουφοντίνα,https://www.documentonews.gr/article/syntonismenh-epithesh-meiopshfias-kata-proedroy-dikastwn-kai-eisaggelewn-gia-koyfontina/, Ο πρώην γενικός γραμματέας της Ένωσης Δικαστών και Εισαγγελέων (ΕΔΕ)… ,2021,02,28
2021-02-28 14:53:00,Νοσοκομειακοί γιατροί: Η κυβέρνηση να σεβαστεί το αίτημα Κουφοντίνα για δίκαιη μεταχείριση,https://www.documentonews.gr/article/nosokomeiakoi-giatroi-h-kybernhsh-na-sebastei-to-aithma-koyfontina-gia-dikaih-metaxeirish/, «Καλούμε την κυβέρνηση να σεβαστεί το αίτημά του Δημήτρη Κουφοντίνα… ,2021,02,28
2021-02-28 14:42:00,«Βαριά» προειδοποίηση διευθυντή «Βήματος» στην κυβέρνηση για Κουφοντίνα,https://www.documentonews.gr/article/baria-proeidopoihsh-dieythynth-bhmatos-sthn-kybernhsh-gia-koyfontina/," Εικοσι χρόνια μετά την αποκάλυψη της 17 Νοέμβρη, θα είναι… ",2021,02,28
2021-02-28 13:56:00,Ομάδα Νομικής Βοήθειας για Δημ. Κουφοντίνα: Να μην περάσουμε σε νέα ζοφερή εποχή,https://www.documentonews.gr/article/omada-nomikhs-bohtheias-gia-dhm-koyfontina-na-mhn-perasoyme-se-nea-zoferh-epoxh/, Ο θάνατος του Δημήτρη Κουφοντίνα θα αποτελέσει μια αποτυχία όλων… ,2021,02,28
2021-02-28 12:58:00,Πολάκης: Η κοινωνία βράζει και το καπάκι δεν θα το σκεπάσετε με τον Κουφοντίνα,https://www.documentonews.gr/article/polakhs-h-koinwnia-brazei-kai-to-kapaki-den-tha-to-skepasete-me-ton-koyfontina/," Το λιανεμπόριο καταστρέφεται, και η κυβέρνηση αρπάζει την περιουσία των… ",2021,02,28
2021-02-28 12:16:00,Άρης Σπηλιωτόπουλος για Κουφοντίνα: Η εκδίκηση δεν έχει θέση στον πολιτισμό μας,https://www.documentonews.gr/article/arhs-sphliwtopoylos-gia-koyfontina-h-ekdikhsh-den-exei-thesh-ston-politismo-mas/, Με παρέμβαση του στο Twitter ο πρώην υπουργός της ΝΔ… ,2021,02,28
2021-02-28 11:49:00,"Στ. Τζουμάκας: Ιστορικό κείμενο, η δήλωση του εφέτη Χριστόφορου Σεβαστίδη ως απάντηση σε κυβερνητικούς δικαστές",https://www.documentonews.gr/article/st-tzoymakas-istoriko-keimeno-h-dhlwsh-toy-efeth-xristoforoy-sebastidh-ws-apanthsh-se-kybernhtikoys-dikastes/," Ο Στέφανος Τζουμάκας, στέλεχος της Προοδευτικής Συμμαχίας, χαρακτηρίζει μάθημα συνταγματικού… ",2021,02,28
2021-02-28 11:23:00,Η κυβέρνηση κοροϊδεύει τη Δικαιοσύνη και την κοινωνία για τον Δημ. Κουφοντίνα,https://www.documentonews.gr/article/h-kybernhsh-koroideyei-th-dikaiosynh-kai-thn-koinwnia-gia-ton-dhm-koyfontina/, H Nέα Δημοκρατία επικαλείται συνεχώς το νόμο και το δίκαιο… ,2021,02,28
2021-02-28 10:55:00,Πατέρας Γρηγόρη Δημητριάδη: Έχουν σχεδιάσει την εξόντωση Κουφοντίνα,https://www.documentonews.gr/article/pateras-grhgorh-dhmhtriadh-exoyn-sxediasei-thn-exontwsh-koyfontina/," Με νέα του παρέμβαση ο δικηγόρος Σπύρος Δημητριάδης, πατέρας του… ",2021,02,28
2021-02-28 10:48:00,"Έκκληση από τον πατέρα του Γρηγ. Δημητριάδη, να σωθεί ο Δημ. Κουφοντίνας",https://www.documentonews.gr/article/ekklhsh-apo-ton-patera-toy-grhg-dhmhtriadh-na-swthei-o-dhm-koyfontinas/, Aκόμα και ο πατέρας του στενού συνεργάτη του πρωθυπουργού Γρηγόρη… ,2021,02,28
2021-02-28 09:23:00,KKE: Η κυβέρνηση κάνει επίδειξη δύναμης με τη ζωή του Δημ. Κουφοντίνα,https://www.documentonews.gr/article/kke-h-kybernhsh-kanei-epideixh-dynamhs-me-th-zwh-toy-dhm-koyfontina/, Με ανακοίνωση του Γραφείου Τύπου του ΚΚΕ καταγγέλλει τη στάση… ,2021,02,28
2021-02-28 08:55:00,Ανακοίνωση συγγενών θυμάτων της τρομοκρατίας για την υπόθεση Κουφοντίνα,https://www.documentonews.gr/article/anakoinwsh-syggenwn-thymatwn-ths-tromokratias-gia-thn-ypothesh-koyfontina/, Ομάδα συγγενών των θυμάτων της τρομοκρατίας εξέδωσε την παρακάτω ανακοίνωση:… ,2021,02,28
2021-02-28 08:05:00,Ανορθόγραφη θανατική καταδίκη του Δημ. Κουφοντίνα από την κυβέρνηση Μητσοτάκη,https://www.documentonews.gr/article/anorthografh-thanatikh-katadikh-toy-dhm-koyfontina-apo-thn-kybernhsh-mhtsotakh/, Με μια ανακοίνωση γραμμένη «στο πόδι» που περιέχει 11 ορθογραφικά… ,2021,02,28
2021-02-28 07:08:00,Ραγκούσης για Κουφοντίνα: Η κυβέρνηση αυτοεγκλωβίστηκε στο δόγμα «τρόμος και πάταξη»,https://www.documentonews.gr/article/ragkoyshs-gia-koyfontina-h-kybernhsh-aytoegklwbisthke-sto-dogma-tromos-kai-pataxh/, Σε συνέντευξη του στην Εφημερίδα των Συντακτών και στο δημοσιογράφο… ,2021,02,28
2021-02-27 21:08:00,Διαμαρτυρία έξω από το νοσοκομείο Λαμίας υπέρ του Δημήτρη Κουφοντίνα – προσαγωγές από την Αστυνομία (video),https://www.documentonews.gr/article/diamartyria-exw-apo-to-nosokomeio-lamias-yper-toy-dhmhtrh-koyfontina-prosagwges-apo-thn-astynomia-video/, Συναγερμός σήμανε στην Αστυνομική Διεύθυνση Φθιώτιδας όταν ενημερώθηκαν ότι περίπου… ,2021,02,27
2021-02-27 19:42:00,Αλέξης Τσίπρας: Έκκληση στην κυβέρνηση να σώσει τον Δημ. Κουφοντίνα,https://www.documentonews.gr/article/alexhs-tsipras-ekklhsh-sthn-kybernhsh-na-swsei-ton-dhm-koyfontina/, Με ανάρτηση του στο Facebook o πρόεδρος του ΣΥΡΙΖΑ Αλέξης… ,2021,02,27
