date,headline,url,summary,year,month,day
2021-01-19 11:41:00+00:00, Πάτρα: Χημικά και προσαγωγές σε συγκέντρωση για τον Κουφοντίνα  ,https://www.protothema.gr/greece/article/1086130/patra-himika-kai-prosagoges-se-sugedrosi-gia-ton-koufodina/,"                     Ομάδες αντιεξουσιαστών που επιχείρησαν να πραγματοποιήσουν πορεία συμπαράστασης στον Δημήτρη Κουφοντίνα, συγκρούστηκαν με την αστυνομία                 ",2021,01,19
2021-01-16 20:13:00+00:00, Λαμία: Αρνήθηκε την ιατρική βοήθεια ο Κουφοντίνας και επέστρεψε στη φυλακή ,https://www.protothema.gr/greece/article/1085371/lamia-arnithike-tin-iatriki-voitheia-o-koufodinas-kai-epestrepse-sti-fulaki/,                     Ο βαρυποινίτης διακομίστηκε νωρίτερα στο Γενικό Νοσοκομείο Λάρισας εξαιτίας των επιπλοκών στην υγεία του από την απεργία πείνας που ξεκίνησε στις 8 Ιανουαρίου                 ,2021,01,16
2021-01-16 16:58:00+00:00, Λαμία: Εκτάκτως στο νοσοκομείο ο Κουφοντίνας ,https://www.protothema.gr/greece/article/1085342/lamia-ektaktos-sto-nosokomeio-o-koufodinas/,                     Επιπλοκές στην υγεία του από την απεργία πείνας που ξεκίνησε στις 8 Ιανουαρίου                 ,2021,01,16
2021-01-15 15:05:00+00:00, Οι οκτώ λέξεις του Κώστα Μπακογιάννη για το χυδαίο πανό στο Πανεπιστήμιο Πειραιά ,https://www.protothema.gr/greece/article/1085055/apadise-o-bakogiannis-sto-hudaio-pano-pou-anevike-sto-panepistimio-peiraia/,"                     Οι δημιουργοί του πανό θέλησαν να εκφράσουν τη στήριξή τους στον Δημήτρη Κουφοντίνα, εμπλέκοντας και τον δολοφονημένο Παύλο Μπακογιάννη                 ",2021,01,15
2021-01-13 20:30:00+00:00, Θεσσαλονίκη: Επίθεση αναρχικών σε γραφείο αντιδημάρχου  ,https://www.protothema.gr/greece/article/1084380/thessaloniki-epithesi-anarhikon-se-grafeio-adidimarhou/,                     Πέταξαν κόκκινη μπογιά στην είσοδο και τρικάκια για τον Δημήτρη Κουφοντίνα                 ,2021,01,13
2021-01-08 15:33:00+00:00, Ξεκινάει απεργία πείνας ο Δημήτρης Κουφοντίνας ,https://www.protothema.gr/greece/article/1082704/xekinaei-apergia-peinas-o-dimitris-koufodinas/,                     Την αποφάση του γνωστοποίησε με γραπτή του επιστολή                 ,2021,01,08
2020-12-21 19:59:00+00:00, Στις Φυλακές Δομοκού ο Δημήτρης Κουφοντίνας ,https://www.protothema.gr/greece/article/1077339/stis-fulakes-domokou-o-dimitris-koufodinas/, Ο «Λουκάς» της 17 Νοέμβρη και ο Μαζιώτης στην ίδια φυλακή με τους «Χρυσαυγίτες»… ,2020,12,21
2020-12-11 09:49:00+00:00, Λάμπρου (ΣΥΡΙΖΑ): «Φωτογραφική διάταξη» για τον Κουφοντίνα - «Δεν θα έχει δικαίωμα να είναι σε αγροτική φυλακή» ,https://www.protothema.gr/politics/article/1073950/labrou-suriza-fotografiki-diataxi-gia-ton-koufodina-den-tha-ehei-dikaioma-na-einai-se-agrotiki-fulaki/,                     Κατηγορεί τη Νέα Δημοκρατία ότι «τουλάχιστον όσον αφορά τα ανθρώπινα δικαιώματα ακολουθεί ακροδεξιά πολιτική»                 ,2020,12,11
2020-06-29 19:06:00+00:00, 17Ν: Όταν έσκασε η βόμβα στα χέρια του Ξηρού ,https://www.protothema.gr/greece/article/1021757/17n-otan-eskase-i-vomva-sta-heria-tou-xirou/,"                     Δεκαοχτώ χρόνια συμπληρώνονται από το βράδυ που ο «Μιχάλης» και ο «Λουκάς» ετοιμάζονταν να τοποθετήσουν δύο εκρηκτικούς μηχανισμούς στον Πειραιά, αγνοώντας ότι είχε αρχίσει η αντίστροφη μέτρηση για το τέλος της τρομοκρατικής οργάνωσης                 ",2020,06,29
2020-01-21 08:33:00+00:00, Δημήτρης Κουφοντίνας: Νέο «όχι» για άδεια από τους δικαστές του Βόλου ,https://www.protothema.gr/greece/article/966772/dimitris-koufodinas-neo-ohi-gia-adeia-apo-tous-dikastes-tou-volou/," Ο καταδικασμένος σε 11 φορές ισόβια εκτελεστής της «17 Νοέμβρη» υπέβαλε αίτηση στο Πειθαρχικό Συμβούλιο των φυλακών πολύ πριν την εορταστική περίοδο, ώστε να του χορηγηθεί άδεια διάρκειας εννέα ημερών, αλλά το αίτημά του απορρίφθηκε ",2020,01,21
